analyte,sample_number,unit_note,value
selenium,P1.0008,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.0280753
bromine,P1.0008,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,10.6584
strontium,P1.0008,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.208861
molybdenum,P1.0008,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.0197586
silver,P1.0008,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.00120192
barium,P1.0008,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.105332
lead,P1.0008,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.000650587
nitrate,P1.0008,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.026
ammonium,P1.0008,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.136
sulfate,P1.0008,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,50.0
chloride,P1.0008,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,2074.0
phosphate,P1.0008,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.756
lithium,P1.0009,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,18.5174
boron,P1.0009,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,39.6088
sodium,P1.0009,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,1187.89
aluminium,P1.0009,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.622071
silicon,P1.0009,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,232.854
potassium,P1.0009,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,262.812
calcium,P1.0009,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,33.735
vanadium,P1.0009,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.00217172
chromium,P1.0009,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.00414141
iron,P1.0009,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.783846
manganese,P1.0009,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.00676768
copper,P1.0009,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.0260101
zinc,P1.0009,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.025404
magnesium,P1.0009,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.186869
arsenic,P1.0009,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,6.75045
selenium,P1.0009,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.0277953
bromine,P1.0009,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,10.262
strontium,P1.0009,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.186838
molybdenum,P1.0009,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.0110327
silver,P1.0009,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.000827449
cadmium,P1.0009,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.000661959
barium,P1.0009,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.125165
lead,P1.0009,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.00124979
nitrate,P1.0009,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.025
ammonium,P1.0009,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.134
sulfate,P1.0009,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,48.0
chloride,P1.0009,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,2030.0
phosphate,P1.0009,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.54
lithium,P1.0026,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,5.347
boron,P1.0026,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,9.45118
sodium,P1.0026,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,889.103
aluminium,P1.0026,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.391862
silicon,P1.0026,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,280.583
potassium,P1.0026,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,74.7726
calcium,P1.0026,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,12.9529
vanadium,P1.0026,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.00813364
chromium,P1.0026,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.00279438
iron,P1.0026,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,1.28976
manganese,P1.0026,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.503513
nickel,P1.0026,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.0020293
